game_date,home_team,pitch_type,description,launch_speed,launch_angle,stand,p_throws,release_speed,season,pitch_category,swing_outcome,sov
2023-08-09,AZ,FC,hit_into_play,92.1,43.0,L,R,92.6,2023,Fastball,in_play,0.304752557240787
2023-09-20,AZ,KC,hit_into_play,93.0,22.0,L,R,85.3,2023,Breaking,in_play,0.4737374821721594
2023-07-07,AZ,FF,foul,84.8,31.0,R,R,94.5,2023,Fastball,foul,
2023-07-06,AZ,CU,foul,67.0,59.0,L,R,81.9,2023,Breaking,foul,
2023-08-21,AZ,FS,swinging_strike_blocked,,,L,R,86.0,2023,Offspeed,whiff,
2023-09-01,AZ,FF,foul,78.2,17.0,R,R,99.0,2023,Fastball,foul,
2023-09-30,AZ,FF,foul,78.4,50.0,R,R,92.3,2023,Fastball,foul,
2023-05-30,AZ,FF,swinging_strike,,,L,R,93.4,2023,Fastball,whiff,
2023-04-09,AZ,FC,hit_into_play,95.0,-11.0,R,R,91.3,2023,Fastball,in_play,-0.1413498550769089
2023-07-08,AZ,ST,hit_into_play,90.0,35.0,R,R,81.1,2023,Breaking,in_play,0.27840569264036064
2023-07-05,AZ,FC,hit_into_play,92.1,40.0,L,R,94.3,2023,Fastball,in_play,0.35059119419694196
2023-06-01,AZ,SL,swinging_strike,,,L,L,84.7,2023,Breaking,whiff,
2023-05-12,AZ,FF,hit_into_play,90.7,41.0,R,L,90.9,2023,Fastball,in_play,0.25351572683914303
2023-04-26,AZ,SI,swinging_strike,,,L,L,92.9,2023,Fastball,whiff,
2023-07-07,AZ,CH,hit_into_play,85.4,23.0,L,R,89.5,2023,Offspeed,in_play,0.012713358995199986
2023-09-17,AZ,SI,foul,100.3,19.0,R,L,91.6,2023,Fastball,foul,
2023-04-07,AZ,FF,hit_into_play,107.4,24.0,L,L,91.4,2023,Fastball,in_play,0.9510482003465885
2023-06-16,AZ,FF,swinging_strike,,,L,R,92.8,2023,Fastball,whiff,
2023-05-26,AZ,ST,hit_into_play,105.4,21.0,R,R,83.4,2023,Breaking,in_play,0.9356970877359794
2023-04-08,AZ,CH,swinging_strike,,,R,R,85.9,2023,Offspeed,whiff,
2023-10-01,AZ,FF,foul,87.4,49.0,R,R,97.8,2023,Fastball,foul,
2023-05-11,AZ,FS,hit_into_play,92.1,-14.0,L,R,89.5,2023,Offspeed,in_play,-0.27566058858711484
2023-09-30,AZ,CU,swinging_strike,,,R,R,74.2,2023,Breaking,whiff,
2023-07-26,AZ,FF,foul,77.1,22.0,L,L,93.5,2023,Fastball,foul,
2023-06-13,AZ,FF,foul_tip,,,L,R,89.8,2023,Fastball,whiff,
2023-09-16,AZ,FF,hit_into_play,96.2,2.0,L,R,88.1,2023,Fastball,in_play,0.23279709233671242
2023-05-29,AZ,SI,hit_into_play,101.9,-16.0,R,R,90.3,2023,Fastball,in_play,-0.16469090741791526
2023-04-23,AZ,CU,hit_into_play,87.5,-15.0,R,R,82.4,2023,Breaking,in_play,-0.4113822135660282
2023-05-26,AZ,FC,hit_into_play,81.3,50.0,R,R,91.9,2023,Fastball,in_play,-0.319168187464536
2023-08-12,AZ,FF,foul,70.3,44.0,R,R,92.3,2023,Fastball,foul,
2023-09-20,AZ,CH,hit_into_play,60.9,-71.0,R,R,86.0,2023,Offspeed,in_play,-0.961813915683899
2023-06-16,AZ,FF,hit_into_play,101.5,-5.0,L,R,95.1,2023,Fastball,in_play,0.14679405585289929
2023-06-04,AZ,FF,hit_into_play,105.8,16.0,L,R,95.0,2023,Fastball,in_play,0.8250954652107902
2023-09-01,AZ,FC,foul,73.1,12.0,R,R,85.3,2023,Fastball,foul,
2023-04-21,AZ,CH,swinging_strike,,,R,R,85.8,2023,Offspeed,whiff,
2023-09-01,AZ,SI,foul,79.6,56.0,R,L,90.4,2023,Fastball,foul,
2023-05-09,AZ,FF,foul,40.5,33.0,L,R,93.0,2023,Fastball,foul,
2023-04-20,AZ,FF,foul,75.0,34.0,R,R,94.4,2023,Fastball,foul,
2023-07-26,AZ,FF,swinging_strike,,,L,R,92.4,2023,Fastball,whiff,
2023-07-24,AZ,CH,hit_into_play,102.5,6.0,L,R,81.8,2023,Offspeed,in_play,0.5141012467986565
2023-09-01,AZ,SI,hit_into_play,66.9,15.0,L,L,91.6,2023,Fastball,in_play,-0.7254895946754183
2023-04-25,AZ,FC,hit_into_play,98.5,47.0,R,R,85.7,2023,Fastball,in_play,0.5085957029153312
2023-09-29,AZ,FF,foul,,,L,R,93.2,2023,Fastball,foul,
2023-07-29,AZ,ST,swinging_strike,,,R,R,84.1,2023,Breaking,whiff,
2023-04-09,AZ,SL,swinging_strike,,,L,R,84.7,2023,Breaking,whiff,
2023-06-12,AZ,CU,foul,105.2,10.0,R,L,78.2,2023,Breaking,foul,
2023-04-25,AZ,FF,hit_into_play,91.9,-20.0,L,R,93.9,2023,Fastball,in_play,-0.4025641418866073
2023-09-17,AZ,FF,foul,81.7,50.0,R,L,92.1,2023,Fastball,foul,
2023-09-04,AZ,CH,swinging_strike_blocked,,,R,R,89.6,2023,Offspeed,whiff,
2023-07-08,AZ,SI,foul,71.7,52.0,R,L,92.7,2023,Fastball,foul,
2023-09-06,AZ,FF,hit_into_play,65.3,6.0,R,L,94.9,2023,Fastball,in_play,-0.7750548254021807
2023-04-21,AZ,SI,foul,75.7,9.0,R,R,91.2,2023,Fastball,foul,
2023-07-04,AZ,FC,swinging_strike,,,L,R,88.3,2023,Fastball,whiff,
2023-05-11,AZ,SI,foul,93.5,-14.0,L,R,93.1,2023,Fastball,foul,
2023-09-16,AZ,SI,foul,75.0,39.0,R,L,90.3,2023,Fastball,foul,
2023-05-06,AZ,SL,foul,80.5,46.0,L,L,82.4,2023,Breaking,foul,
2023-04-26,AZ,FF,swinging_strike,,,L,L,91.3,2023,Fastball,whiff,
2023-06-03,AZ,FF,foul,65.3,-51.0,L,R,98.5,2023,Fastball,foul,
2023-08-08,AZ,SL,hit_into_play,79.7,1.0,L,L,85.3,2023,Breaking,in_play,-0.43341972487616365
2023-06-29,AZ,SL,foul,68.2,42.0,R,R,88.4,2023,Breaking,foul,
2023-05-05,AZ,CU,swinging_strike,,,L,R,83.6,2023,Breaking,whiff,
2023-05-12,AZ,SL,hit_into_play,82.3,68.0,R,R,83.6,2023,Breaking,in_play,-0.5048231018142224
2023-09-01,AZ,CH,swinging_strike,,,R,L,84.1,2023,Offspeed,whiff,
2023-06-14,AZ,CU,foul,81.2,-50.0,R,R,85.4,2023,Breaking,foul,
2023-08-11,AZ,FF,foul,73.2,77.0,R,R,95.3,2023,Fastball,foul,
2023-05-30,AZ,FF,swinging_strike,,,R,R,92.4,2023,Fastball,whiff,
2023-09-19,AZ,SI,hit_into_play,84.2,-26.0,R,L,91.2,2023,Fastball,in_play,-0.6355912708758262
2023-06-29,AZ,FC,foul,68.4,-45.0,L,R,87.5,2023,Fastball,foul,
2023-06-03,AZ,SL,foul,66.2,20.0,L,R,79.4,2023,Breaking,foul,
2023-09-04,AZ,SI,swinging_strike,,,R,R,92.3,2023,Fastball,whiff,
2023-07-30,AZ,FC,swinging_strike,,,L,L,87.4,2023,Fastball,whiff,
2023-06-27,AZ,FF,hit_into_play,59.1,17.0,L,R,96.5,2023,Fastball,in_play,-0.843483061634487
2023-04-23,AZ,FC,swinging_strike,,,L,R,91.7,2023,Fastball,whiff,
2023-04-21,AZ,FF,swinging_strike,,,R,R,94.1,2023,Fastball,whiff,
2023-05-07,AZ,ST,foul,72.5,-16.0,R,R,78.0,2023,Breaking,foul,
2023-05-07,AZ,FF,foul,48.5,60.0,L,R,93.1,2023,Fastball,foul,
2023-05-30,AZ,FC,hit_into_play,80.9,24.0,R,R,89.5,2023,Fastball,in_play,-0.2185808272118024
2023-05-13,AZ,KC,hit_into_play,99.5,-1.0,L,R,83.5,2023,Breaking,in_play,0.23845599398837547
2023-04-08,AZ,FS,hit_into_play,96.7,-6.0,R,R,88.4,2023,Offspeed,in_play,0.02465992914871107
2023-06-01,AZ,FF,foul,76.7,43.0,R,R,96.2,2023,Fastball,foul,
2023-06-17,AZ,KC,hit_into_play,69.6,-39.0,L,R,82.4,2023,Breaking,in_play,-0.8784793043691628
2023-09-06,AZ,CH,foul,70.7,64.0,L,R,79.7,2023,Offspeed,foul,
2023-06-15,AZ,FF,foul,66.9,60.0,L,R,98.1,2023,Fastball,foul,
2023-07-04,AZ,FF,hit_into_play,107.7,30.0,R,R,94.7,2023,Fastball,in_play,0.9587620960939776
2023-05-11,AZ,CU,hit_into_play,93.6,19.0,R,R,85.1,2023,Breaking,in_play,0.47761743371110454
2023-04-09,AZ,FF,hit_into_play,94.9,15.0,R,R,94.3,2023,Fastball,in_play,0.4874936739920561
2023-08-09,AZ,SL,swinging_strike,,,L,R,85.7,2023,Breaking,whiff,
2023-08-13,AZ,CU,swinging_strike,,,L,R,79.6,2023,Breaking,whiff,
2023-07-29,AZ,CH,swinging_strike,,,L,R,84.7,2023,Offspeed,whiff,
2023-06-12,AZ,SL,hit_into_play,104.3,19.0,L,R,86.0,2023,Breaking,in_play,0.896836229239192
2023-06-14,AZ,CH,foul,59.5,36.0,L,R,89.8,2023,Offspeed,foul,
2023-09-15,AZ,FF,foul,71.9,28.0,R,R,92.3,2023,Fastball,foul,
2023-05-11,AZ,SI,foul,104.7,26.0,R,R,95.3,2023,Fastball,foul,
2023-04-23,AZ,SL,foul,64.3,38.0,L,R,86.8,2023,Breaking,foul,
2023-08-13,AZ,FF,swinging_strike,,,R,R,94.9,2023,Fastball,whiff,
2023-08-25,AZ,FF,swinging_strike,,,R,R,93.6,2023,Fastball,whiff,
2023-04-12,AZ,FF,hit_into_play,110.1,10.0,L,R,91.8,2023,Fastball,in_play,0.5822074317174537
2023-08-12,AZ,KC,swinging_strike_blocked,,,R,R,81.5,2023,Breaking,whiff,
2023-07-06,AZ,SL,swinging_strike,,,R,R,89.8,2023,Breaking,whiff,
2023-10-01,AZ,SL,swinging_strike,,,R,R,82.4,2023,Breaking,whiff,
2023-07-04,AZ,FF,foul,74.9,80.0,L,R,94.1,2023,Fastball,foul,
2023-04-21,AZ,FF,hit_into_play,90.6,-20.0,R,R,94.8,2023,Fastball,in_play,-0.4294784302298833
2023-04-26,AZ,KC,hit_into_play,98.1,35.0,R,R,81.2,2023,Breaking,in_play,0.7510083273268207
2023-09-29,AZ,FF,foul,,,R,R,93.8,2023,Fastball,foul,
2023-04-10,AZ,CH,hit_into_play,75.5,-10.0,R,L,83.5,2023,Offspeed,in_play,-0.6507430183875964
2023-05-31,AZ,FF,foul,64.8,23.0,R,L,90.7,2023,Fastball,foul,
2023-10-01,AZ,CH,swinging_strike,,,L,R,92.3,2023,Offspeed,whiff,
2023-09-20,AZ,FF,foul,85.7,28.0,L,R,91.5,2023,Fastball,foul,
2023-07-07,AZ,SL,foul,,,R,R,86.0,2023,Breaking,foul,
2023-06-01,AZ,SI,hit_into_play,84.1,30.0,L,R,89.9,2023,Fastball,in_play,-0.05284708696919038
2023-08-26,AZ,FF,swinging_strike,,,L,R,93.8,2023,Fastball,whiff,
2023-05-30,AZ,FF,hit_into_play,63.7,67.0,R,R,91.3,2023,Fastball,in_play,-0.8408759795727453
2023-08-26,AZ,FF,swinging_strike,,,L,R,94.1,2023,Fastball,whiff,
2023-07-26,AZ,FF,foul,89.2,69.0,L,L,92.4,2023,Fastball,foul,
2023-04-12,AZ,SL,swinging_strike,,,R,R,85.2,2023,Breaking,whiff,
2023-06-18,AZ,CH,hit_into_play,55.6,-77.0,L,R,80.5,2023,Offspeed,in_play,-0.9754320855122917
2023-06-12,AZ,SL,foul,65.2,-35.0,R,R,88.1,2023,Breaking,foul,
2023-05-05,AZ,FC,swinging_strike,,,R,R,87.7,2023,Fastball,whiff,
2023-06-18,AZ,FC,foul,70.9,-3.0,R,R,82.5,2023,Fastball,foul,
2023-04-24,AZ,SL,swinging_strike_blocked,,,R,L,83.8,2023,Breaking,whiff,
2023-08-11,AZ,CH,hit_into_play,65.8,-37.0,R,L,84.8,2023,Offspeed,in_play,-0.895133958010643
2023-09-17,AZ,SL,hit_into_play,90.2,10.0,L,L,81.4,2023,Breaking,in_play,0.14726946493474635
2023-06-16,AZ,FF,foul,74.8,42.0,L,R,97.4,2023,Fastball,foul,
2023-09-30,AZ,FF,hit_into_play,98.3,5.0,R,R,92.8,2023,Fastball,in_play,0.3890839940497186
2023-09-20,AZ,SI,foul,82.1,-50.0,R,R,95.3,2023,Fastball,foul,
2023-09-15,AZ,FF,hit_into_play,83.1,-20.0,R,L,92.7,2023,Fastball,in_play,-0.5844924624656862
2023-04-09,AZ,FF,swinging_strike,,,L,R,94.7,2023,Fastball,whiff,
2023-07-05,AZ,FF,foul,93.4,29.0,R,R,96.3,2023,Fastball,foul,
2023-08-24,AZ,CU,hit_into_play,103.0,20.0,L,L,82.3,2023,Breaking,in_play,0.9026331528823592
2023-06-15,AZ,ST,hit_into_play,87.9,15.0,R,R,82.6,2023,Breaking,in_play,0.09538853190608365
