game_date,home_team,pitch_type,description,launch_speed,launch_angle,stand,p_throws,release_speed,season,pitch_category,swing_outcome
2024-09-02,AZ,SL,hit_into_play,97.3,-18,L,R,85.4,2024,Breaking,in_play
2024-07-31,AZ,SL,hit_into_play,89.7,-15,R,R,88.5,2024,Breaking,in_play
2024-04-02,AZ,ST,swinging_strike,,,R,R,82.3,2024,Breaking,whiff
2024-06-27,AZ,CH,hit_into_play,74.0,-6,L,R,89.4,2024,Offspeed,in_play
2024-04-14,AZ,FF,foul,86.5,58,L,R,91.7,2024,Fastball,foul
2024-08-29,AZ,SI,foul,74.2,-47,L,R,92.6,2024,Fastball,foul
2024-05-03,AZ,FF,foul,90.8,45,R,R,98.7,2024,Fastball,foul
2024-04-17,AZ,CH,foul,,,R,L,83.8,2024,Offspeed,foul
2024-07-30,AZ,FF,foul,76.4,37,R,R,95.6,2024,Fastball,foul
2024-05-17,AZ,FF,swinging_strike,,,R,L,99.9,2024,Fastball,whiff
2024-08-27,AZ,ST,swinging_strike,,,L,L,79.1,2024,Breaking,whiff
2024-06-28,AZ,SL,swinging_strike,,,R,R,87.1,2024,Breaking,whiff
2024-08-10,AZ,FF,foul,79.8,53,L,R,94.8,2024,Fastball,foul
2024-04-15,AZ,FF,swinging_strike,,,L,R,97.1,2024,Fastball,whiff
2024-09-24,AZ,SI,hit_into_play,87.7,-50,R,R,96.3,2024,Fastball,in_play
2024-05-03,AZ,FF,hit_into_play,39.7,-10,L,R,92.6,2024,Fastball,in_play
2024-08-14,AZ,CU,swinging_strike,,,L,L,80.2,2024,Breaking,whiff
2024-04-02,AZ,SL,swinging_strike,,,R,R,84.6,2024,Breaking,whiff
2024-07-13,AZ,FC,hit_into_play,96.7,17,L,R,91.4,2024,Fastball,in_play
2024-03-29,AZ,CH,hit_into_play,60.5,-15,L,R,89.2,2024,Offspeed,in_play
2024-07-14,AZ,FF,hit_into_play,105.0,-4,R,L,96.0,2024,Fastball,in_play
2024-07-29,AZ,CH,hit_into_play,89.0,-18,R,L,79.2,2024,Offspeed,in_play
2024-04-02,AZ,FC,hit_into_play,69.7,39,R,L,86.4,2024,Fastball,in_play
2024-06-29,AZ,CH,swinging_strike,,,R,L,81.7,2024,Offspeed,whiff
2024-08-10,AZ,CH,hit_into_play,91.6,-9,L,R,86.7,2024,Offspeed,in_play
2024-08-08,AZ,FF,swinging_strike,,,R,R,97.3,2024,Fastball,whiff
2024-05-19,AZ,SI,swinging_strike,,,L,R,92.7,2024,Fastball,whiff
2024-05-25,AZ,ST,swinging_strike,,,L,L,83.1,2024,Breaking,whiff
2024-09-14,AZ,FF,foul,90.5,43,R,R,97.8,2024,Fastball,foul
2024-08-27,AZ,FF,hit_into_play,96.1,2,R,L,90.5,2024,Fastball,in_play
2024-07-11,AZ,ST,foul,69.7,28,R,R,86.8,2024,Breaking,foul
2024-08-09,AZ,FF,foul,78.6,49,R,R,94.6,2024,Fastball,foul
2024-09-25,AZ,SL,swinging_strike_blocked,,,L,R,88.3,2024,Breaking,whiff
2024-03-31,AZ,FF,foul,81.1,21,R,R,99.3,2024,Fastball,foul
2024-05-26,AZ,SL,hit_into_play,99.0,9,R,R,88.9,2024,Breaking,in_play
2024-05-04,AZ,FF,foul,85.1,50,R,R,91.5,2024,Fastball,foul
2024-07-27,AZ,CH,hit_into_play,104.2,4,R,L,79.6,2024,Offspeed,in_play
2024-06-25,AZ,ST,hit_into_play,77.3,29,R,R,83.7,2024,Breaking,in_play
2024-06-04,AZ,CU,foul,100.2,42,R,L,77.2,2024,Breaking,foul
2024-06-11,AZ,FF,foul,91.9,-3,L,R,96.6,2024,Fastball,foul
2024-06-04,AZ,FF,foul_tip,,,R,L,93.3,2024,Fastball,whiff
2024-03-30,AZ,CH,swinging_strike,,,R,L,80.9,2024,Offspeed,whiff
2024-06-05,AZ,SI,foul,87.7,40,R,R,96.4,2024,Fastball,foul
